old,new
Amalosia_sp_SAMA_ABTC3745,Amalosia_rhombifer.cf_ABTC3745
Amalosia_sp_CONX5882,Amalosia_rhombifer.cf_CONX5882
Crenadactylus_ocellatus_ABTC12065,Crenadactylus_horni_ABTC12065
Strophurus_assimilis_WAM_R154745,Strophurus_spinula_WAM_R154745
Strophurus_ciliaris_MAGNT_R21680,Strophurus_krisalys_MAGNT_R21680
Lucasium_maini_WAM_R65394,Strophurus_krisalys_SAMA_R65394
Diplodactylus_laevis_WAM_R51877,Strophurus_elderi_SAMA_R51877
Lucasium_stenodactylum_ABTC64798,Lucasium_microplax_ABTC64798
Lucasium_na_WAM_R110294,Lucasium_woodwardi_WAM_R110294
Rhynchoedura_ornata_ABTC57997,Rhynchoedura_eyrensis_ABTC57997
Rhynchoedura_ornata_ABTC74634,Rhynchoedura_angusta_ABTC74634
Diplodactylus_conspicillatus_MAGNT_R17871,Diplodactylus_hillii_MAGNT_R17871
Diplodactylus_conspicillatus_MAGNT_R21395,Diplodactylus_barraganae_MAGNT_R21395
Oedura_marmorata_SAMA_R41324,Oedura_cincta_SAMA_R41324
Strophurus_ciliaris_ABTC61644,Strophurus_ciliaris_ciliaris_ABTC61644
Strophurus_ciliaris_SAMA_R60965,Strophurus_ciliaris_ciliaris_SAMA_R60965
Strophurus_ciliaris_SAMA_R65368,Strophurus_ciliaris_ciliaris_SAMA_R65368
Strophurus_ciliaris_WAM_R163983,Strophurus_ciliaris_aberrans_WAM_R163983
Strophurus_ciliaris_WAM_R169302,Strophurus_ciliaris_aberrans_WAM_R169302
Strophurus_ciliaris_WAM_R174725,Strophurus_ciliaris_ciliaris_WAM_R174725
Strophurus_taenicauda_QM_J97063,Strophurus_taenicauda_taenicauda_QM_J97063
Strophurus_taenicauda_QM_J97064,Strophurus_taenicauda_albiocularis_QM_J97064
Strophurus_taenicauda_QM_J97065,Strophurus_taenicauda_triaureus_QM_J97065
Strophurus_spinigerus_SAMA_R22882,Strophurus_spinigerus_spinigerus_SAMA_R22882
Strophurus_spinigerus_WAM_R154065,Strophurus_spinigerus_inornatus_WAM_R154065
